drugs	targets
AICAR	ATIC
AKT INHIBITOR VIII	AKT1,AKT2,AKT3
AXITINIB	PDGFRB,KIT
BI-2536	PLK1,PLK3,PLK2
BMS-536924, LINSITINIB	IGF1R
BORTEZOMIB	PSMB5,PSMB1
CAMPTOTHECIN	TOP1
CETUXIMAB,GEFITINIB	EGFR
CHIR-99021	GSK3A,GSK3B
CISPLATIN	TF,MPG,A2M,ATOX1
DORAMAPIMOD	MAPK9
DOXORUBICIN	NOLC1,TOP2A
EMBELIN	XIAP
ENZASTAURIN	PRKCB,CDK15,AKT1,AURKA,AURKB,CHEK2,CHEK1
ERLOTINIB	NR1I2,EGFR
FLUOROURACIL	TYMS
FULVESTRANT	ESR1
GEMCITABINE	CMPK1,RRM1,TYMS
GSK269962A	ROCK1,ROCK2
IRINOTECAN	TOP1MT,TOP1
JQ1	BRD4,BRDT,BRD2,BRD3
KU-55933	ATM
LENALIDOMIDE	CRBN
LESTAURTINIB	NTRK3,JAK2,FLT3,NTRK2,NTRK1
METHOTREXATE	DHFR
MK-2206	AKT1,AKT2
MOTESANIB	PDGFRB,RET,KIT
NAVITOCLAX	BAD,BCL2L2,BCL2
NILOTINIB	ABL1
OBATOCLAX MESYLATE	MCL1,BCL2
PACLITAXEL,DOCETAXEL	MAP4,TUBB1,MAP2,NR1I2,MAPT,BCL2
PALBOCICLIB	CDK4,CDK6
PF-562271	PTK2B,PTK2
RO-3306	CDK1
RUXOLITINIB	JAK2,JAK1
SGC0946	DOT1L
SORAFENIB	ZHX2,PDGFRB,KIT
TANESPIMYCIN	HSP90AB1,HSP90AA1
TRAMETINIB,SELUMETINIB	MAP2K2,MAP2K1
VELIPARIB,TALAZOPARIB	PARP1,PARP2
VINBLASTINE	TUBA1A,JUN,TUBB,TUBG1,TUBD1,TUBE1
VORINOSTAT	HDAC1,HDAC8,HDAC3,HDAC2,HDAC6
XAV939	TNKS,TNKS2
