Organoid	Drug Name	median_IC50
P10	PF-02341066	2.815117
P10	BIRB 0796	5.703398
P10	AZD-2281	4.44204
P10	OSI-906	0.21724200000000002
P10	Mirin	4.495209
P10	Axitinib	1.907228
P10	Vorinostat	1.963027
P10	MLN8237	3.5434699999999997
P10	5-Fluorouracil	3.966824
P10	EHT 1864	4.842668
P10	YK 4-279	3.1206259999999997
P10	BMS-536924	1.888571
P10	SGC0946	3.289525
P10	AZD8931	1.968633
P10	Obatoclax Mesylate	0.258552
P10	SB-505124	5.827285
P10	XAV 939	4.876364
P10	Oxaliplatin	6.169144999999999
P10	Nilotinib	2.5840919999999996
P10	AMG-706	4.710955
P10	PLX4720	5.276434
P10	SB 216763	3.755614
P10	CHIR-99021	6.172287
P10	BIBW2992/Afatanib	1.216439
P10	SCH772984	3.785712
P10	BMN-673	2.745416
P10	Gefitinib	1.856456
P10	SL 0101-1	5.900939
P10	PD-173074	4.770742
P10	NU-7441	3.794307
P10	(5Z)-7-Oxozeaenol	4.549588
P10	681640	4.264886
P10	GDC-0449	5.704907
P10	AZD8055	2.526462
P10	Gemcitibine	2.237499
P10	Docetaxel	-2.403797
P10	AKT inhibitor VIII	5.166389
P10	FK866	3.237259
P10	BI-2536	-1.8248939999999998
P10	PF-4708671	3.096531
P10	Lenalidomide	3.472889
P10	LY317615	2.839914
P10	Nutlin-3a	4.595552
P10	INCB-18424/Ruxolitinib	6.489075
P10	BYL719	3.590844
P10	Paclitaxel	-1.7776049999999999
P10	GDC0941	2.075953
P10	ABT-263	3.003623
P10	MK-2206	0.972411
P10	UNC0642	3.101541
P10	GW 441756	5.0086949999999995
P10	PAC-1	5.545686
P10	17-AAG	-1.23848
P10	AICAR	4.561286
P10	NVP-BEZ235	-1.419707
P10	Cisplatin	0.620816
P10	BMS-345541	2.8947
P10	BMS-708163	5.162563
P10	KU-55933	5.761043
P10	JQ1	0.27302600000000005
P10	JNJ-26854165	2.819142
P10	Sorafenib	3.325442
P10	CEP-701	-0.061357
P10	PF477736	3.8701199999999996
P10	Cetuximab	6.044047
P10	GSK2118436/Dabrafenib	3.7926699999999998
P10	Irinotecan	1.900221
P10	ZM-447439	5.491695
P10	Dasatanib	2.326041
P10	Camptothecin	-0.836199
P10	PF-562271	1.276029
P10	Embelin	5.000246
P10	Fulvestrant	2.7545669999999998
P10	BX-795	1.611474
P10	RO-3306	5.31163
P10	GSK1120212/Tramatenib	-3.0376145
P10	JNK Inhibitor VIII	6.169467
P10	GSK269962A	4.021276
P10	Bortezomib	-2.610722
P10	Temozolomide	6.039534
P10	AZD6482	4.1971680000000005
P10	PD-0332991	3.746522
P10	AZ960	3.077972
P19a	PF-02341066	-1.527333
P19a	BIRB 0796	6.573883
P19a	AZD-2281	2.711479
P19a	OSI-906	0.073928
P19a	Mirin	3.4616
P19a	Axitinib	1.263276
P19a	Vorinostat	0.051417
P19a	MLN8237	2.547996
P19a	5-Fluorouracil	2.21822
P19a	EHT 1864	3.089013
P19a	YK 4-279	0.10961199999999999
P19a	BMS-536924	-0.784315
