Organoid	Drug_ID	Drug Name	Max_conc	IC50	BETA	AUC
P10	1001	AICAR	100	4.194041	0.65777	0.933625
P10	1001	AICAR	100	5.939166	1.013333	0.79625
P10	1001	AICAR	100	4.561286	0.705029	0.7525
P10	1003	Camptothecin	0.1	-0.836199	0.641893	0.87
P10	1003	Camptothecin	0.1	-0.160944	0.830313	0.942375
P10	1003	Camptothecin	0.1	-0.993139	0.745736	0.89125
P10	1005	Cisplatin	6	1.999699	1.093965	0.66875
P10	1005	Cisplatin	6	0.620816	0.783739	0.867375
P10	1005	Cisplatin	6	0.512454	0.638542	0.70875
P10	1007	Docetaxel	0.0125	-2.403797	0.74958	0.91875
P10	1007	Docetaxel	0.0125	-2.304334	0.81415	0.9375
P10	1007	Docetaxel	0.0125	-4.784622	0.510357	0.7075
P10	1010	Gefitinib	0.5	2.673627	0.999646	0.959875
P10	1010	Gefitinib	0.5	1.75106	0.922404	0.983487
P10	1010	Gefitinib	0.5	1.856456	0.970469	0.969625
P10	1011	ABT-263	2	3.003623	0.813971	0.945
P10	1011	ABT-263	2	3.163338	0.808323	0.943625
P10	1011	ABT-263	2	2.368257	0.786153	0.9125
P10	1012	Vorinostat	10	1.495295	0.93852	0.85375
P10	1012	Vorinostat	10	2.510629	0.882395	0.83
P10	1012	Vorinostat	10	1.963027	1.038451	0.765
P10	1013	Nilotinib	2	3.582377	0.855694	0.92375
P10	1013	Nilotinib	2	1.915491	0.784241	0.962375
P10	1013	Nilotinib	2	2.584092	0.793917	0.89625
P10	1017	AZD-2281	5	4.764742	0.912752	0.968625
P10	1017	AZD-2281	5	4.44204	0.910843	0.977125
P10	1017	AZD-2281	5	3.653946	0.813941	0.93375
P10	1020	Lenalidomide	5	3.552073	0.720189	0.90625
P10	1020	Lenalidomide	5	3.354892	0.755612	0.9125
P10	1020	Lenalidomide	5	3.472889	0.705581	0.91375
P10	1021	Axitinib	2	1.907228	0.808464	0.9
P10	1021	Axitinib	2	2.54324	0.769262	0.905
P10	1021	Axitinib	2	1.802309	0.83567	0.9175
P10	1023	GW 441756	2	5.167466	1.042284	0.994712
P10	1023	GW 441756	2	5.008695	1.000211	0.993237
P10	1023	GW 441756	2	4.609846	1.010956	0.991987
P10	1024	CEP-701	2	1.175913	0.548919	0.78625
P10	1024	CEP-701	2	-0.424319	0.674019	0.6925
