geneID	uniprotID	P10	P11	P14	P16	P17	P18	P19A	P19B	P20	P23	P24A	P24B	P25	P26	P27	P28	P31	P5	P6	P7	P8	P9
UBE2Q1	Q7Z7E8	10.77948	10.36871	10.48601	10.57013	10.81061	10.66684	10.45977	10.25714	10.4984	10.49425	10.70629	10.26538	10.68505	10.52841	10.26565	10.49426	10.2401	10.94899	10.58972	10.34912	10.21428	10.51734
RNF14	Q9UBS8	10.64877	10.60477	9.86378	9.8752	9.65476	9.56777	10.54465	10.0579	10.20654	10.02533	10.37158	10.15364	9.86062	10.25959	10.2338	9.9953	10.01627	9.99654	10.11563	10.00252	10.29218	10.29659
RNF17	Q9BXT8	2.92829	2.94778	2.85039	2.94415	2.93804	2.94133	2.73166	2.72851	2.7908	2.92451	2.91909	3.0314	2.87742	3.09439	2.90944	2.88091	3.13499	2.91481	3.00661	2.71679	2.94459	2.82385
RNF10	Q8N5U6	10.14697	10.28412	9.82024	10.09536	9.8482	9.72871	9.87436	10.01927	9.79014	9.79143	9.82308	9.97935	10.0285	9.93144	10.22766	9.91303	10.18708	10.42625	9.6737	10.04076	10.01115	9.83281
RNF11	Q9Y3C5	9.57152	9.82175	9.38328	9.7009	9.21919	9.21824	9.81959	9.63568	9.55903	9.78678	9.91902	9.28048	9.23959	8.91173	10.4577	9.73117	9.38042	9.97647	9.19755	9.53379	8.8379	9.6733
RNF13	O43567	10.15992	9.92583	9.88713	9.60837	10.14082	10.26825	10.00816	10.08649	10.46644	10.29992	10.11705	10.11775	10.36683	10.49312	10.3203	10.21619	10.30484	10.41789	9.7491	10.2718	10.29827	10.22604
REM1	O75628	6.10365	6.14903	6.01671	6.36695	6.20776	5.93693	5.83452	6.27077	6.25406	6.30272	5.86936	6.13229	6.32613	6.21645	6.1224	6.44376	6.13104	6.07551	6.50923	6.08386	6.54568	6.60913
REM2	Q8IYK8	6.20976	6.16866	6.49565	6.54618	6.27931	6.33975	6.24432	6.5558	6.27218	6.45382	6.31078	6.5779	6.50726	6.31152	6.72968	6.42945	6.67528	6.69352	6.64156	6.19929	6.35518	6.93317
RPEL1	Q2QD12	4.06293	3.68895	3.41725	3.59127	3.70403	3.34788	3.64381	3.68391	3.71325	3.51783	3.33891	3.62353	3.65203	3.39648	3.3585	3.88656	3.47506	3.56594	3.53158	3.53079	3.46195	3.59241
UBE2Q2	Q8WVN8	8.5791	7.18319	8.33758	7.31984	8.70079	8.41563	9.4089	8.95131	7.89895	9.00948	8.93468	8.59548	7.73476	8.49745	9.25863	8.8742	7.77616	8.17531	7.40135	8.66684	6.23194	8.97101
CHMP1B	Q7LBR1	10.36585	10.74533	10.50255	10.60066	11.04528	10.41416	9.97623	10.41862	9.82572	10.51103	10.96386	10.61721	10.61392	10.35504	11.13282	10.72701	10.18104	10.51143	8.99656	10.31801	10.1687	10.46671
PMM2	O15305	9.38149	9.94393	9.4602	10.06434	9.73979	9.69919	9.31867	10.06308	9.8123	9.73179	9.79919	9.94604	10.12237	9.99853	9.42486	9.28606	9.91706	9.01235	9.98959	9.51807	9.73349	9.47134
PMM1	Q92871	6.6814	7.53852	7.25195	7.02788	7.71736	8.23182	7.69175	6.62504	7.29559	6.94108	7.38056	7.57758	7.11731	7.01246	7.3779	6.94393	7.30982	6.56085	6.56049	6.84168	7.19144	7.5539
ASS1	P00966	11.49823	10.99028	11.59138	11.33861	11.18449	11.48742	9.45335	12.38111	11.56975	11.88149	12.10448	11.38779	11.28412	10.77821	10.44998	11.41284	11.92616	11.08298	10.27215	11.62132	12.00059	12.04657
