# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	P10	P11	P14	P16	P17	P18	P19A	P19B	P20	P23	P24A	P24B	P25	P26	P27	P28	P31	P5	P6	P7	P8	P9
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.2621685427507199	0.2392657069015798	0.25426986176701594	0.23195861807185045	0.2633227837526468	0.2644029555234049	0.25835931134495005	0.23799753737018245	0.23885834747353268	0.23821921151179584	0.2462148070536954	0.25375271978282676	0.220649991506976	0.26301848699093344	0.22363330834124778	0.23581682857644193	0.24636179196289693	0.2649949935807638	0.26057918782582196	0.2543569886781868	0.25705576788684636	0.23411641485477738
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	-0.16405493033903873	-0.13918133996845572	-0.13607773745491153	-0.08374916158825237	-0.19411266412246542	-0.16342041059848061	-0.19823628250652334	-0.1767137357745563	-0.16792071906942288	-0.1648551258632557	0.015465303498567602	-0.13243263345568604	-0.13084593463234034	0.06741254723208528	-0.18210869507692304	-0.1783734468297478	-0.024526720183064617	-0.12900310336274534	-0.08933532504265485	0.05303875003143023	0.017558580338692283	-0.1854174443783284
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.33975856629333057	0.33767021636111033	0.3320297039871027	0.31112567202342356	0.39205013628426094	0.3343493295415577	0.3342876254413091	0.3527278094719637	0.391163178549842	0.37502177830651956	0.3593441465854303	0.3690664593057315	0.3639363395392488	0.3755751085735684	0.311636380255892	0.3513662145316778	0.36007933208031556	0.3269340943553289	0.2876353119117808	0.2818403206434565	0.3126521090678365	0.34645092762897417
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.33975856629333057	0.33767021636111033	0.3320297039871027	0.31112567202342356	0.39205013628426094	0.3343493295415577	0.3342876254413091	0.3527278094719637	0.391163178549842	0.37502177830651956	0.3593441465854303	0.3690664593057315	0.3639363395392488	0.3755751085735684	0.311636380255892	0.3513662145316778	0.36007933208031556	0.3269340943553289	0.2876353119117808	0.2818403206434565	0.3126521090678365	0.34645092762897417
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.28669311509224704	0.26660459938788394	0.3036371489759061	0.25047583369363735	0.2930795899057688	0.3045497389757936	0.300407285174536	0.28520181912303816	0.29460235003336344	0.28273502653801313	0.2742458623203632	0.28215113971562733	0.2871979061665033	0.29594149031078104	0.2659608388108055	0.2804839476507034	0.27430326045295783	0.2887472597439767	0.2989759165812439	0.2863439461351919	0.28602920119894426	0.29211283921484665
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.013315967862841876	0.02460308661071973	0.03957498999423841	0.08826585044032688	0.034502567324099766	0.04213967392954926	0.031635580934087644	0.0451481059281113	0.03437044149098784	0.13990506763818936	-0.0017871117934786978	0.015993139449445543	0.07645961626152137	0.016264554577119117	0.17507724429832908	0.15994771230026406	0.0648892756964599	0.16014012139999237	0.0074254513492115586	0.02111483704473581	0.0037653737562939374	0.0010145476324766745
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.17002929493554325	0.16900339867961714	0.21876984260827761	0.18433405944474443	0.12426836814378714	0.21252431609168237	0.15641326381077972	0.13883651837165437	0.21378561842651755	0.2096682474709584	0.15036710133250664	0.2160744905390698	0.12255018167908498	0.19800672531865018	0.18906312705400288	0.20307295678681153	0.20946588174430175	0.1547050069051135	0.18111810904846223	0.12812056471754027	0.19248686006362853	0.18655366127131776
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.12737186322295435	0.1197802643829007	0.13907229515664668	0.12790015532693474	0.14835941015065365	0.1420471950644267	0.13843865609251704	0.13080390325884084	0.15574678988466376	0.13180448621313998	0.1421098435964604	0.14623988558902598	0.13906746435079456	0.12788376950857105	0.14681914932717302	0.14721874416497457	0.11785052142525554	0.14924795682294437	0.14258450330636466	0.12510244248958052	0.1163186322831107	0.1394639812408593
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	-0.1806004971404946	-0.2035632018670912	-0.18094653005298755	-0.16683686229610142	-0.2394804386127671	-0.2761446954057771	-0.26279999499615053	-0.1942668055257683	-0.16922155937278172	-0.1806580852337419	-0.25988000953779733	-0.1837833967004538	-0.2038461040044613	-0.21891986017453846	-0.03660443504007456	-0.15561313915980257	-0.1711170213374057	-0.16916480782017962	-0.20712211644403275	-0.15152175261162357	-0.26173134504006906	-0.21207514120211687
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.21159458573833928	0.2082819979923704	0.1945272926992207	0.19914080556942645	0.19127950496875937	0.22536909562750035	0.1855353575452107	0.17866670508698235	0.21428940663952367	0.19632109478636953	0.23536284811007016	0.1972171117329718	0.23746705172142654	0.22629477561854364	0.21295324652883665	0.19746842739789852	0.21665106325879172	0.19112686215553906	0.23191362794290263	0.19525918882944493	0.2208419814182668	0.25723434904316184
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.13617256623090462	0.14667762977633547	0.12488785821419482	0.12992021559045755	0.11838325934040815	0.1262790869320963	0.1561336602471297	0.14222810357620605	0.12121962256449136	0.14621651610977499	0.13859574820451528	0.13160517275436232	0.16099122119472897	0.13433674800971845	0.15640299000358904	0.14148669210724454	0.12870869107019456	0.1452566239562441	0.14119835321294066	0.14614457101577016	0.13325735745661535	0.1492542818753875
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.253544835793447	0.24393511577918012	0.2995996661995695	0.28992640494850686	0.3119312413827146	0.31811867057498483	0.31626802506171403	0.30094601497503565	0.3104002012532862	0.2300392584146199	0.22783169900194755	0.26953750007430094	0.2597677775579461	0.29390185125070395	0.18654656091188818	0.2544591235639253	0.23103800272074929	0.12524450950498228	0.30238093591035275	0.29918668362700807	0.30859307964695226	0.21016765812788293
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.13777687049767842	0.12302263097760847	0.14638910000063798	0.14351034822382855	0.144768644490955	0.1457753540846726	0.17493791118151286	0.1372181992080408	0.14772181784960603	0.16458954257413183	0.08731565091361394	0.13199947486004188	0.15880301617197715	0.13986021161885984	0.1462131635809854	0.18190350399982988	0.14569180569517134	0.1437203928879248	0.13475954796224826	0.14776366772029825	0.13749760946550324	0.1594380268903789
REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA	0.45125486420387434	0.4457268272474981	0.46272734695401846	0.4492554405079909	0.4385741691634544	0.4721439255866543	0.430651443169157	0.4585163342698021	0.4327523238530455	0.44814720867653185	0.43381221072320403	0.4580425337782159	0.4365437555358023	0.42598801242123174	0.43146201597617806	0.4379414624579376	0.4577978001907275	0.4538626079815188	0.4340913021038586	0.44812248192770293	0.44325919625750027	0.47158209905658216
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.45125486420387434	0.4457268272474981	0.46272734695401846	0.4492554405079909	0.4385741691634544	0.4721439255866543	0.430651443169157	0.4585163342698021	0.4327523238530455	0.44814720867653185	0.43381221072320403	0.4580425337782159	0.4365437555358023	0.42598801242123174	0.43146201597617806	0.4379414624579376	0.4577978001907275	0.4538626079815188	0.4340913021038586	0.44812248192770293	0.44325919625750027	0.47158209905658216
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	0.2613233421296697	0.27217941028232584	0.27032602020190977	0.2594666671525501	0.25681442577693214	0.2513133823405051	0.24225543679691963	0.2602127645221302	0.2777311290986711	0.26329431403218256	0.2507479211727828	0.26599849742707443	0.2754860923426505	0.25720802595158854	0.26693533282721055	0.256910921646438	0.26664490624575027	0.2868973265266348	0.2573599984210736	0.26624153677511986	0.25129801571085103	0.24703114992783506
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.2097195292731868	0.20322251083866633	0.21714992453616289	0.21883546296729706	0.22710048425069562	0.23788021449176672	0.24955748760377883	0.22913427562240116	0.20142527153706985	0.22579975569123104	0.19211598111933484	0.19971124024757655	0.21999068142712727	0.20453058547219005	0.23706412765156093	0.19178479326150244	0.20381144249428462	0.23518538006035541	0.198826056738596	0.2074486250821947	0.21579034605046404	0.22880760848197385
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.056216307995922005	0.07471198287152914	0.0741200479417284	0.039609882963123746	0.0447975658674626	0.018367138866606122	0.1498471211241763	0.11665497259032757	0.02017171358928118	0.08660841207935452	0.05024755174904575	0.06297980042807966	0.12055269236727942	0.030176099000512963	0.14093679720430902	0.0850752213601108	0.009399642832854653	0.09488656522762239	0.09045513271497453	0.09257873968642931	0.03783276863707922	0.053357179358304765
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.2889697106872074	0.2708134804170068	0.2599965268427525	0.2679099920236852	0.2575824016484766	0.29193486480074743	0.3160189703730007	0.2806576591392819	0.2739899751017442	0.27193724393709007	0.2810641570783359	0.28734170567346023	0.2757574993104878	0.30028403557268846	0.2891612582391498	0.27366149791508404	0.26981646087246375	0.27508440584205873	0.27836051558664193	0.29106612889804884	0.26182692741047575	0.2686971612099298
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.09934365131373153	0.1315824015424369	0.12792387390517215	0.14483591407615812	0.10804761845386865	0.11648772220913567	0.12634509385405374	0.11074314766920669	0.09909704856717441	0.1418805323387184	0.13780139259611207	0.1291625847610719	0.14822319447492655	0.10637495671854362	0.11944646692456634	0.130258804200382	0.12185414428183644	0.12220694135966194	0.13702661190600834	0.11497685382111571	0.11946479564668042	0.14893938768685971
REACTOME_ACTIVATION_OF_RAC	0.17249905579623961	0.1596632495175676	0.16718985926954164	0.14915615207430963	0.19375371032036437	0.19702656264198357	0.21760307353466485	0.1837985112037476	0.17473634359344903	0.1872016951785977	0.18967620539552132	0.18252899276159829	0.19488966390690882	0.1854991155018862	0.21470099400679066	0.19217820740606018	0.18587353700481415	0.18999639431879997	0.1585700299774904	0.16046493759195585	0.16003880950793772	0.19197678905747037
