# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	P10	P11	P14	P16	P17	P18	P19A	P19B	P20	P23	P24A	P24B	P25	P26	P27	P28	P31	P5	P6	P7	P8	P9
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.24298900867192025	0.22176168169985933	0.23566817360182218	0.21498915951857744	0.2440588085566966	0.24505995791282464	0.2394584502251349	0.22058628798546095	0.22138412357425138	0.2207917450527112	0.2282024046767956	0.23518886431184288	0.20450784116661724	0.2437767733144246	0.2072729066947238	0.21856511388717492	0.22833863657175094	0.24560868408395214	0.2415159266096074	0.2357489265462904	0.23825027044383082	0.21698909778614228
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	-0.15205311999894577	-0.1289992135201419	-0.12612266208431672	-0.07762230181362224	-0.17991191212681742	-0.15146501998845907	-0.18373385785978155	-0.1637858418254231	-0.1556360981910483	-0.15279477540555217	0.014333904161417561	-0.12274422393157453	-0.1212736036576835	0.06248082951564724	-0.16878612064969808	-0.16532413295582113	-0.022732412366205157	-0.11956558888729864	-0.08279979681673257	0.04915858003448288	0.016274042588862017	-0.17185281089505244
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.3149027581463436	0.3129671861876866	0.3077393182833934	0.288364568167281	0.36336881979004026	0.30988924637184073	0.30983205637492844	0.32692320693907917	0.36254674945940846	0.3475862099433042	0.3330555109118298	0.3420665658046766	0.3373117515796491	0.348099060080272	0.28883791438123196	0.32566122256337415	0.33373691224517743	0.30301648952593596	0.2665926986020533	0.2612216530571595	0.28977933524929006	0.32110552461695163
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.3149027581463436	0.3129671861876866	0.3077393182833934	0.288364568167281	0.36336881979004026	0.30988924637184073	0.30983205637492844	0.32692320693907917	0.36254674945940846	0.3475862099433042	0.3330555109118298	0.3420665658046766	0.3373117515796491	0.348099060080272	0.28883791438123196	0.32566122256337415	0.33373691224517743	0.30301648952593596	0.2665926986020533	0.2612216530571595	0.28977933524929006	0.32110552461695163
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.2657194303268048	0.24710053552928968	0.28142388499972315	0.23215170625318118	0.27163868809725894	0.28226971240933507	0.2784303092068162	0.26433723349497873	0.27305004725563503	0.2620509047137091	0.2541827845492649	0.26150973345548145	0.26618729226566673	0.27429121969023845	0.2465038707166272	0.25996450860557735	0.2542359835913485	0.26762329936980855	0.2771036556278669	0.26539580561636605	0.2651040865594537	0.2707426622447468
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.012341808046649073	0.022803192034723113	0.03667979188504205	0.08180856205342779	0.03197845379447672	0.03905685055294843	0.02932120829325985	0.041845193888565745	0.03185599392621424	0.12966999525151168	-0.0016563715788594315	0.014823125076709388	0.0708660397006059	0.015074684215422199	0.16226907159305165	0.14824637480682623	0.06014215362944578	0.14842470778267414	0.006882225622324534	0.01957013327357103	0.0034899093030817717	0.000940326100451935
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.15759041640955895	0.15663957191993327	0.2027652388228848	0.17084868344230927	0.11517723395688806	0.1969766179571669	0.14497049690915498	0.1286796181289622	0.19814564686033548	0.19432949151107543	0.1393666551535792	0.20026707134464022	0.11358474531812537	0.1835210944483915	0.17523178538985612	0.18821669426839555	0.19414193030791374	0.14338721141002675	0.16786800318779949	0.11874761435739119	0.17840504744958882	0.17290590526544106
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.11805368581794168	0.11101746760112255	0.12889814612874442	0.11854332951542164	0.13750584117155362	0.13165541048969787	0.1283108623668056	0.12123464718459713	0.1443527803939948	0.1221620302245614	0.13171347582634693	0.1355413752341761	0.1288936687314458	0.11852814243874688	0.13607826162037298	0.13644862319193704	0.10922889936425491	0.1383293841977051	0.1321534107291236	0.11595028970307543	0.10780907904508341	0.12926117752951743
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	-0.16738825835238103	-0.1886710743584459	-0.16770897644270688	-0.1546315334170733	-0.22196070422591974	-0.2559427041956768	-0.2435742655968395	-0.18005477696632444	-0.15684177257302093	-0.1674416334581151	-0.24086789829427452	-0.170338305679425	-0.18893328014861993	-0.20290428151399728	-0.03392655461277303	-0.1442289071908959	-0.15859856772062658	-0.15678917280890473	-0.19196962847148202	-0.14043683530078765	-0.24258379515091563	-0.19656030347492326
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.19611490413551347	0.19304465625570938	0.1802962076100807	0.18457220848747186	0.1772860191537486	0.20888170852703547	0.17196209785690328	0.1655959372404337	0.19861257930453552	0.18195878003900998	0.21814434539099048	0.18278924683462072	0.22009461121694626	0.20973966829982527	0.19737416901580948	0.18302217693234923	0.20080146357996542	0.1771445432715694	0.21494746074450505	0.18097456021969602	0.20468578562070805	0.23841578709081407
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.126210553446226	0.13594709525310059	0.11575140382681631	0.1204156076909069	0.10972266362951218	0.11704085405395595	0.1447113483780627	0.13182308422917993	0.11235152627192611	0.13551971540215813	0.12845646204922412	0.12197729799370256	0.14921354344249074	0.12450903866879509	0.14496097470561997	0.13113591239700384	0.1192927149934396	0.1346300463351862	0.1308686675881746	0.13545303361460415	0.12350861337857351	0.13833524652659793
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.23499618854697746	0.22608948938550832	0.27768177342882877	0.2687161815337891	0.28911120427387416	0.2948459780567342	0.29313072071138446	0.2789296270074644	0.28769217085596915	0.21321021496824372	0.21116415456892396	0.24981887321713075	0.24076387689933823	0.2724007950494458	0.17289932434890198	0.23584358952292375	0.2141358938705133	0.11608196348390075	0.2802595730488047	0.27729900353259107	0.28601725332747596	0.1947923666492329
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.12769749119741974	0.11402263151717681	0.1356796735272388	0.1330115233627678	0.13417776611392562	0.13511082758511267	0.16213993170626312	0.12717969077247865	0.1369148933807055	0.1525486214640192	0.08092787652718583	0.12234275403496159	0.1471854215188206	0.12962842077596443	0.1355166081352123	0.1685959407910161	0.13503339136744888	0.13320620173329262	0.12490090773231366	0.13695368162923394	0.12743866013913574	0.14777397658855373
REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA	0.4182422916220765	0.4131186707412571	0.4288754788886124	0.41638914029934204	0.406489281574367	0.4376031663640736	0.39914616056093527	0.4249725323836401	0.40109334655571516	0.4153619836798656	0.40207569499913265	0.42453339384111755	0.4046074074585763	0.3948238936613326	0.39989743407669703	0.405902861962233	0.42430656429403085	0.42065925999193426	0.40233436881713763	0.41533906587240255	0.4108315648904311	0.4370824415274649
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.4182422916220765	0.4131186707412571	0.4288754788886124	0.41638914029934204	0.406489281574367	0.4376031663640736	0.39914616056093527	0.4249725323836401	0.40109334655571516	0.4153619836798656	0.40207569499913265	0.42453339384111755	0.4046074074585763	0.3948238936613326	0.39989743407669703	0.405902861962233	0.42430656429403085	0.42065925999193426	0.40233436881713763	0.41533906587240255	0.4108315648904311	0.4370824415274649
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	0.24220564061836564	0.2522675084946995	0.2505497073672359	0.24048479490826377	0.2380265842630879	0.23292798213007165	0.22453269112701316	0.24117630983337576	0.25741307873533537	0.24403242160317357	0.23240388855596975	0.24653877433145122	0.25533228273268077	0.23839138972467902	0.2474070734140924	0.2381160207585047	0.24713789364759348	0.2659087022107643	0.23853224430363862	0.24676403358502222	0.23291373968104595	0.22895902613733518
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.19437702167680637	0.18835530735454914	0.2012638295296762	0.20282605857577937	0.2104864334904575	0.2204775481281857	0.23130054385340912	0.21237143824377808	0.18668954916838726	0.2092808626775012	0.17806130099524436	0.1851009117235713	0.2038967644103102	0.1895676868228633	0.21972116397083713	0.17775434193595177	0.1889011543797976	0.21797986041877118	0.18428048582089374	0.19227225063002693	0.20000371409025158	0.21206866917856038
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.052103676542585214	0.06924625839312867	0.068697627805029	0.03671213217968651	0.04152029838072516	0.01702344918467097	0.13888471527618002	0.1081208136146452	0.01869600615255309	0.08027237735315113	0.04657157819006916	0.05837237035308819	0.11173338686521633	0.027968498069169033	0.13062624630229966	0.07885135067670407	0.008711990652506309	0.08794492344135423	0.08383768242018919	0.08580593210944813	0.03506502668086693	0.04945371394207332
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.26782947640999283	0.25100150632522933	0.24097589151164192	0.24831042920750485	0.23873837711875473	0.2705777079523775	0.2928998861830288	0.2601255118364064	0.2539456173402182	0.2520430583774385	0.2605022714972015	0.26632057179369995	0.2555838343085087	0.2783160762089976	0.26800701086653617	0.25364117064680314	0.2500774260057022	0.25495998251865976	0.25799642102796483	0.2697725263940578	0.24267238497633076	0.2490400112474238
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.09207594129065758	0.12195619266140767	0.11856531290729827	0.13424011444012363	0.100143149982838	0.10796579881424459	0.11710203208990047	0.10264148164768605	0.09184737932707118	0.13150094035351173	0.1277202193261511	0.11971340306238763	0.13737959066238412	0.0985928556086707	0.11070808985256866	0.12072942608349481	0.11293962811458345	0.11326661552239263	0.12700211947385318	0.1065654614282761	0.11072507769546543	0.13804338913629435
REACTOME_ACTIVATION_OF_RAC	0.15987949631556408	0.14798272254387268	0.15495870609668036	0.13824429563357735	0.17957921840385432	0.1826126377943569	0.2016838273859078	0.1703523144469659	0.1619531102520561	0.17350653078314654	0.17580001259545736	0.1691756705044396	0.1806320687305779	0.1719285071824186	0.19899405606488502	0.17811897497689783	0.17227553703148948	0.17609677737218798	0.14696947995756926	0.14872576130975895	0.14833080759175593	0.1779322918442128
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.18907760574797006	0.22047521475988516	0.1836528529546893	0.20107960712716175	0.16384537890734102	0.16386058364892198	0.20071209557264114	0.19875363506883226	0.16295277889340112	0.19440028144472954	0.18537236321087	0.19852928082053595	0.18900676729392185	0.18574020711638456	0.19650868055055454	0.16711594110554803	0.19813707132598712	0.1931703423634707	0.19650140728834098	0.1716252863866627	0.15812569618573707	0.21041736314187937
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.26125951457819707	0.23756746690435604	0.24987675837464815	0.2327811904842093	0.26447757484304824	0.26817910460877814	0.24793343473613616	0.236760468208621	0.23845839110871678	0.23455416859206835	0.24521354522677707	0.2536041370571167	0.22118132345365174	0.2627792342530134	0.22421539045240604	0.2324123864391912	0.23981078518874194	0.2604352813696761	0.26224873788839087	0.25212353881042215	0.25323591190807754	0.23120031722100468
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.2778628465099365	0.27513523311677424	0.34027656968419967	0.3293397417412126	0.3567370698979662	0.3511730015799098	0.3582570804181685	0.3462521897389318	0.34538631913290546	0.2623209287025017	0.26505861357806365	0.3086800758014568	0.2872548430219271	0.32595336698032773	0.21008517426973772	0.2983847132627093	0.2686029614553238	0.13006777937239797	0.35195236943397884	0.3333356607425633	0.34007604104171296	0.23171283764377237
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.3045002652453266	0.291234110037092	0.2753251948821945	0.34651163406735674	0.2637256344005982	0.2667157230671303	0.33504937712595045	0.3631075172455135	0.3239230189183162	0.3271230886993532	0.27326452676325474	0.316003205215564	0.2984813501202483	0.285914525366333	0.3376627854879276	0.3253198390793067	0.3378175024206751	0.24778637806625947	0.34686956394553187	0.29169525838763516	0.2766205959603658	0.27627524897707406
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.2948630437492917	0.2977622806546675	0.24143730253126094	0.3436801406435717	0.238264657764527	0.24418994371650973	0.31311859581506807	0.3706084727643853	0.30606231851496807	0.30788482907007786	0.2365673302791819	0.31517934660276786	0.27838673484342447	0.23902704473372788	0.3077443380327437	0.30197090143225236	0.35439847548098724	0.1864011942558086	0.3308985541493825	0.30049288913366995	0.2729381993384368	0.2688340638735769
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	0.3140550877528972	0.27115145832998505	0.2974883610109984	0.29415370291892906	0.2735207601125057	0.34917903953191465	0.3192932702425145	0.31413742424858604	0.32055094960180996	0.2834605427395022	0.33651367117610753	0.27720374871928494	0.2993832076737525	0.30789317270718064	0.27963539886400984	0.2987139527473991	0.2874547449696477	0.2783998924555906	0.31123553482679556	0.32391786471099837	0.28860394278307894	0.27982488912995385
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.3640285235809865	0.38074490562956187	0.32441078284159985	0.37802534750648165	0.360576426674098	0.3629941117202854	0.32077943554159966	0.44071846377593815	0.343213674973472	0.3177077913555925	0.29318717861758764	0.3622776615067259	0.3387192063153941	0.29447924171943013	0.3221204032627057	0.35127108469225965	0.4208926719987532	0.27061501097548385	0.3625265347521085	0.41941317563357133	0.347590769888686	0.3232522735511277
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.14573958397128123	0.14151365112679	0.14261093774394634	0.13395514198458133	0.13523788890727909	0.14068472922097028	0.16495827144261965	0.14384378946331078	0.14563916990789333	0.14370460872195945	0.14613878034743674	0.14617318539063995	0.15244461905283194	0.14837314374780902	0.14420397088365458	0.14146646177794203	0.14028671653534353	0.13854979152366362	0.13925138467206066	0.14845782061902563	0.14762489823401298	0.15082713752502974
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	-0.11808938205164485	-0.10419066127840257	-0.1442797474801097	-0.11616381167440226	-0.06291882851606893	-0.14452590243184085	-0.026031095327650015	-0.08491019436998622	-0.07713478336381699	-0.10811694605903502	-0.08242080174286706	-0.1330293737328438	-0.11079669446075886	-0.11921585098382004	-0.12983168083227728	-0.11294823662413274	-0.10099829509626791	-0.10908187693922929	-0.06873468653178508	-0.08914907482326168	-0.0945300129925577	-0.08956663642071555
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	-0.11808938205164485	-0.10419066127840257	-0.1442797474801097	-0.11616381167440226	-0.06291882851606893	-0.14452590243184085	-0.026031095327650015	-0.08491019436998622	-0.07713478336381699	-0.10811694605903502	-0.08242080174286706	-0.1330293737328438	-0.11079669446075886	-0.11921585098382004	-0.12983168083227728	-0.11294823662413274	-0.10099829509626791	-0.10908187693922929	-0.06873468653178508	-0.08914907482326168	-0.0945300129925577	-0.08956663642071555
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.2374908146816404	0.21673651318721404	0.20745092588414416	0.19352557492397926	0.1960714678190448	0.1996572616704237	0.13304598034996307	0.1605959033049207	0.1915375255323203	0.212410036471176	0.19528981106292947	0.21274457835467525	0.2152133776465509	0.20030788615572653	0.21682081926583258	0.16658595546734867	0.21589975080497809	0.2564290635071069	0.21637263831933137	0.1774064397976493	0.19933736281246978	0.22280943708398956
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	0.17533831059633392	0.1712811600979897	0.16843681465033755	0.1764361179715074	0.16331618445775145	0.17054132706050992	0.17686352842055378	0.16156629991844837	0.17160914672528493	0.168734815895638	0.1655627475048297	0.18058451962345504	0.17363048909223594	0.16183848747719487	0.16244731127800588	0.17327031406664278	0.16972222409592233	0.16166781799617433	0.16704132846567205	0.16459986613114924	0.17959000537175895	0.16016346955501523
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.1795075992245965	0.18160270127098976	0.18367919323760176	0.13914933566424262	0.19729860077792793	0.14291246476706404	0.16971057716633148	0.14918465456475863	0.13658981530526654	0.2020466459902088	0.17197237514330757	0.17018809783859118	0.18982336424185825	0.17871758505937085	0.17628863467014022	0.16710785372879144	0.18197781409394237	0.15375119795865708	0.18425531707800946	0.15903709056753712	0.16369292527664875	0.18158492801042575
REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM	0.24577171811658233	0.23216503748175107	0.1861456786522222	0.2541800767009512	0.18293173191852535	0.2539341816947466	0.15465344493851735	0.22687823826963088	0.24517556212568464	0.2140008651543665	0.2577130653381262	0.2568069512418194	0.15008336544022277	0.25491402346818787	0.18804792077024962	0.2385588016415332	0.24913570966311377	0.21962989155367246	0.21028784352647337	0.26928935330037024	0.24195923694606591	0.15063511838106347
REACTOME_AMINE_DERIVED_HORMONES	-0.17733451734062491	-0.12733829337657615	-0.10425601605320814	-0.12222815074341717	-0.15955615662986236	-0.0684558195762868	-0.24232225439495145	-0.21426204211804573	-0.09895997236240352	-0.1572623117781327	-0.16944584646692007	-0.14986796734750585	-0.16675657399740618	-0.11961140569329833	-0.15000703498315815	-0.18493564619819794	-0.10099243824092868	-0.2096374459478483	-0.10451968957866958	-0.20656859574002262	-0.06712053739750339	-0.08470904174733687
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	-0.23440473457913272	-0.228035874053468	-0.1739578727211996	-0.19757391159600626	-0.23490597813021613	-0.2362419241038397	-0.25990930126778083	-0.2077932464278193	-0.2347797512059527	-0.2081768927401359	-0.2460919443878281	-0.243032679083242	-0.23941467961224022	-0.20668109486081807	-0.21173952339867708	-0.25640991097427474	-0.18831416545010826	-0.23049797898471083	-0.20968724829744767	-0.24239072848493842	-0.2523431338944476	-0.22292619651779236
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	0.23655112574897594	0.22305945340713956	0.23986363002571065	0.22360201332810895	0.24208511677415123	0.26721324751286846	0.20981705744059237	0.21842670252634178	0.22688707780774378	0.1346282968671546	0.20914038183125866	0.19696830254436878	0.20819338087202074	0.24298934114233187	0.1756639633229041	0.1981113773468682	0.23935673922427153	0.24000980657733617	0.19520965882209723	0.19584067015321313	0.23284200302789992	0.2581106493463814
REACTOME_AMYLOIDS	-0.005415949915707388	-0.017882204874672174	-0.010364278005167399	-0.012271300777060788	-0.10382311311358797	-0.030517806865908208	-0.05930682449392818	-0.028843557872656893	-0.08088343949585426	0.011436926677008394	-0.022383805053256246	0.0019119102140027142	0.010537944482171088	-0.027026071446502944	0.05552487462606686	0.005927349253162666	-0.007282334118090327	0.01047295886983102	-0.0314845800137437	-0.019433050522058435	-0.05608340070627827	0.04728748617097388
REACTOME_ANDROGEN_BIOSYNTHESIS	-0.02739401370927111	0.04867899285098004	0.027485512717253316	-0.028476801810514138	-0.013576165884790796	0.002224642235115747	0.015473963056222659	0.013438369301358392	0.015371978614248771	0.049585609605890084	-0.01987623754753989	-0.037642316216671884	-0.040023243590484744	-0.004537245921892149	-0.014018448374511458	0.021167440397454038	0.015340995398638731	-0.04235720589188239	0.020718706638259768	0.053494341762330776	-0.0294369127100844	0.054708392537794276
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.2044562804770486	0.1789624075895694	0.1837115012994134	0.1769323321326141	0.13755324643307665	0.16370618903772005	0.14327497220460733	0.1820427440959949	0.1909089452492253	0.19609447820790263	0.17028244290690708	0.1904686957944019	0.1987090264887394	0.17620492104515556	0.18671086964435116	0.19390007226143144	0.20709631082314264	0.18820953712035715	0.19134640431528832	0.1865280741079643	0.18118843646607735	0.19479053866371943
